symbol,ask,bid,previousClose,open,dividendYield,dividendPerShare,dividendPayDate,exDividendDate,tradeDate,lastTradeDate,lastTradeTime,earningPerShare,EPSEstimateCurrentYear,EPSEstimateNextYear,EPSEstimateNextQuarter,bookValue,EBITDA,priceSale,priceBook,pe,peg,peCurrentYear,peNextYear,shortRatio,revenue,holdingsValue,dayValueChange,holdingGainPercent,annualizedGain,holdingsGain,askSize,bidSize,lastTradeSize,averageDailyVolume,marketCapitalization,floatShares,name,sharesOwned,stockExchange,sharesOutstanding,commission,oneYearTargetPrice,
"TFSC",9.85,9.72,9.80,N/A,N/A,N/A,N/A,N/A,N/A,"9/8/2015","11:53am",-0.16,N/A,N/A,0.00,2.75,0.00,N/A,3.57,N/A,0.00,N/A,N/A,1.12,N/A,N/A,N/A,N/A,N/A,N/A,1000,3000,N/A,2905,18.11M,N/A,"1347 Capital Corp.",N/A,"NCM",1848000,N/A,N/A
"TFSCR",0.3600,0.3300,0.3600,N/A,N/A,N/A,N/A,N/A,N/A,"9/11/2015","12:43pm",N/A,N/A,N/A,0.0000,0.0000,0.00,N/A,N/A,N/A,0.0000,N/A,N/A,0.0000,N/A,N/A,N/A,N/A,N/A,N/A,100,10000,200,N/A,N/A,N/A,"1347 Capital Corp.",N/A,"NCM",N/A,N/A,N/A
"TFSCU",10.38,10.28,10.35,N/A,N/A,N/A,N/A,N/A,N/A,"9/4/2015","3:58pm",N/A,N/A,N/A,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,100,1500,N/A,525,N/A,N/A,"1347 Capital Corp.",N/A,"NCM",N/A,N/A,N/A
"TFSCW",0.27,0.24,0.30,N/A,N/A,N/A,N/A,N/A,N/A,"9/11/2015","2:27pm",N/A,N/A,N/A,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,100,10000,9900,N/A,N/A,N/A,"1347 Capital Corp.",N/A,"NCM",N/A,N/A,N/A
"PIH",7.50,7.42,7.36,7.20,N/A,N/A,N/A,N/A,N/A,"9/11/2015","3:59pm",-0.13,N/A,N/A,0.00,7.67,4.78M,2.02,0.96,N/A,0.00,N/A,N/A,0.08,22.85M,N/A,N/A,N/A,N/A,N/A,400,100,100,15905,46.49M,5452000,"1347 Property Insurance Holding",N/A,"NGM",6265000,N/A,N/A
"FLWS",8.84,8.05,8.50,8.45,N/A,N/A,N/A,N/A,N/A,"9/11/2015","4:00pm",0.30,0.42,0.61,0.91,3.19,71.50M,0.49,2.66,28.03,1.12,20.02,13.79,8.22,1.12B,N/A,N/A,N/A,N/A,N/A,300,400,3432,401953,548.23M,24782000,"1-800 FLOWERS.COM, Inc.",N/A,"NMS",65188000,N/A,14.25
"FCTY",8.29,7.91,8.39,N/A,N/A,N/A,N/A,N/A,N/A,"9/11/2015","2:24pm",0.20,0.28,0.51,0.11,6.51,0.00,3.93,1.29,39.65,0.00,28.32,15.55,0.21,20.60M,N/A,N/A,N/A,N/A,N/A,400,200,400,8417,76.41M,6448000,"1st Century Bancshares, Inc",N/A,"NCM",9636000,N/A,8.50
"FCCY",11.64,N/A,11.55,N/A,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",1.15,1.23,1.20,0.30,12.19,0.00,2.17,0.95,10.08,0.51,9.39,9.62,0.91,40.14M,N/A,N/A,N/A,N/A,N/A,200,N/A,N/A,4939,87.16M,5586000,"1st Constitution Bancorp (NJ)",N/A,"NGM",7546000,N/A,13.00
"SRCE",30.38,30.27,30.12,29.83,2.20,0.65,"8/14/2015","7/31/2015",N/A,"9/11/2015","4:00pm",2.23,2.20,2.35,0.54,21.92,0.00,3.59,1.37,13.61,1.96,13.78,12.90,7.35,241.65M,N/A,N/A,N/A,N/A,N/A,1200,500,1089,42177,873.50M,16678000,"1st Source Corporation",N/A,"NMS",28819000,N/A,30.00
"VNET",19.88,17.00,18.16,18.10,N/A,N/A,N/A,N/A,N/A,"9/11/2015","4:00pm",-0.84,0.67,2.00,0.06,7.39,69.74M,2.99,2.46,N/A,8.64,27.27,9.14,3.79,526.64M,N/A,N/A,N/A,N/A,N/A,300,400,2355,977905,1.58B,43541000,"21Vianet Group, Inc.",N/A,"NMS",86616000,N/A,157.97
"TWOU",39.22,34.75,36.12,36.00,N/A,N/A,N/A,N/A,N/A,"9/11/2015","4:00pm",-0.65,-0.39,-0.29,0.01,1.94,-25.00M,11.64,18.59,N/A,-3.00,N/A,N/A,6.57,129.01M,N/A,N/A,N/A,N/A,N/A,100,1000,2996,370111,1.50B,29877000,"2U, Inc.",N/A,"NMS",41592000,N/A,40.40
"DGLD",94.0000,N/A,86.0920,88.1400,N/A,N/A,N/A,N/A,N/A,"9/11/2015","3:24pm",N/A,N/A,N/A,0.0000,0.0000,N/A,N/A,N/A,N/A,0.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,1200,20328,N/A,N/A,"VS 3X INV GOLD",N/A,"PCX",N/A,N/A,N/A
"DSLV",75.00,N/A,68.57,71.84,N/A,N/A,N/A,N/A,N/A,"9/11/2015","3:58pm",N/A,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,100,28845,N/A,N/A,"VS 3X INV SILVER",N/A,"PCX",N/A,N/A,N/A
"UGLD",10.300,8.490,8.690,8.480,N/A,N/A,N/A,N/A,N/A,"9/11/2015","3:56pm",N/A,N/A,N/A,0.000,0.000,N/A,N/A,N/A,N/A,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,800,1000,200,225903,N/A,N/A,"VS 3X GOLD",N/A,"PCX",N/A,N/A,N/A
"USLV",12.50,12.22,12.58,11.95,N/A,N/A,N/A,N/A,N/A,"9/11/2015","3:59pm",N/A,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,900,500,100,539334,N/A,N/A,"VS 3X SILVER",N/A,"PCX",N/A,N/A,N/A
"JOBS",31.66,22.38,27.04,26.87,N/A,N/A,N/A,N/A,N/A,"9/11/2015","4:00pm",1.46,1.58,1.84,0.43,10.21,91.36M,5.35,2.65,18.63,0.86,17.15,14.73,5.29,300.32M,N/A,N/A,N/A,N/A,N/A,400,100,545,181855,1.61B,20662000,"51job, Inc.",N/A,"NMS",59447000,N/A,34.83
"SIXD",N/A,N/A,2.90,N/A,N/A,N/A,N/A,N/A,N/A,"9/10/2015","3:42pm",-0.04,N/A,N/A,0.00,0.13,-2.22M,17.86,22.83,N/A,0.00,N/A,N/A,3.21,12.70M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,216628,226.92M,54701000,"6D GLOBAL TECHNOLOGI",N/A,"NCM",78247000,N/A,N/A
